Effect,Term,Estimate,HDI,Rhat,Bulk ESS,Tail ESS
Population,Intercept,0.38,"[0.22, 0.53]",1.01,565.11,1104.64
Population,L2,−0.17,"[−0.37, 0.04]",1.02,439.52,928.86
Population,Oxytone,−0.39,"[−0.41, −0.38]",1.00,3169.14,3706.47
Population,Proficiency,0.04,"[−0.06, 0.14]",1.01,668.20,1129.77
Population,Use,0.02,"[−0.09, 0.12]",1.00,686.17,1083.40
Population,L2:Oxytone,0.51,"[0.50, 0.53]",1.00,3124.51,3462.27
Population,Time,1.49,"[1.48, 1.51]",1.00,3101.44,3522.33
Population,Time:Oxytone,0.00,"[−0.02, 0.02]",1.00,2909.08,3457.55
Grouping,sd(Intercept),0.49,"[0.42, 0.58]",1.00,904.53,1272.59
Smooths,sds(Time),1.39,"[0.34, 3.86]",1.00,2319.02,2697.02
Smooths,sds(Time:Oxytone),0.88,"[0.10, 3.27]",1.00,1838.93,1948.50
