Group,n,Proficiency,Use,Proficiency_prose,Use_prose
HS,42,0.70 (0.09),0.41 (0.15),0.70 (SD = 0.09),0.41 (SD = 0.15)
L2,50,0.71 (0.14),0.38 (0.16),0.71 (SD = 0.14),0.38 (SD = 0.16)
